date,temp,humidity,weather_main,weather_desc
2024-09-01,"{'min': 59.8, 'max': 88.9, 'avg': 74.3}",51,Drizzle,drizzle
2024-09-02,"{'min': 65.5, 'max': 78.0, 'avg': 71.8}",47,Drizzle,drizzle
2024-09-03,"{'min': 61.8, 'max': 83.8, 'avg': 72.8}",68,Fog,foggy
2024-09-04,"{'min': 67.5, 'max': 91.0, 'avg': 79.2}",66,Mist,mist
2024-09-05,"{'min': 61.0, 'max': 89.6, 'avg': 75.3}",65,Rain,light rain
2024-09-06,"{'min': 60.1, 'max': 78.7, 'avg': 69.4}",63,Thunderstorm,thunderstorm
2024-09-07,"{'min': 61.2, 'max': 88.2, 'avg': 74.7}",56,Fog,foggy
2024-09-08,"{'min': 60.3, 'max': 92.1, 'avg': 76.2}",51,Thunderstorm,thunderstorm
2024-09-09,"{'min': 64.5, 'max': 85.1, 'avg': 74.8}",50,Clear,clear sky
2024-09-10,"{'min': 61.9, 'max': 78.3, 'avg': 70.1}",50,Thunderstorm,thunderstorm
2024-09-11,"{'min': 63.7, 'max': 79.3, 'avg': 71.5}",44,Fog,foggy
2024-09-12,"{'min': 64.4, 'max': 79.4, 'avg': 71.9}",53,Mist,mist
2024-09-13,"{'min': 68.7, 'max': 85.9, 'avg': 77.3}",40,Rain,light rain
2024-09-14,"{'min': 67.1, 'max': 87.5, 'avg': 77.3}",51,Mist,mist
2024-09-15,"{'min': 69.4, 'max': 85.8, 'avg': 77.6}",39,Rain,light rain
2024-09-16,"{'min': 60.8, 'max': 79.3, 'avg': 70.0}",36,Fog,foggy
2024-09-17,"{'min': 64.5, 'max': 88.0, 'avg': 76.2}",56,Clouds,scattered clouds
2024-09-18,"{'min': 68.5, 'max': 77.8, 'avg': 73.2}",48,Clear,clear sky
2024-09-19,"{'min': 59.2, 'max': 82.6, 'avg': 70.9}",49,Clear,clear sky
2024-09-20,"{'min': 60.8, 'max': 89.5, 'avg': 75.2}",70,Drizzle,drizzle
2024-09-21,"{'min': 64.2, 'max': 86.2, 'avg': 75.2}",51,Drizzle,drizzle
2024-09-22,"{'min': 63.9, 'max': 85.8, 'avg': 74.8}",57,Clear,clear sky
2024-09-23,"{'min': 67.3, 'max': 80.9, 'avg': 74.1}",51,Thunderstorm,thunderstorm
2024-09-24,"{'min': 66.2, 'max': 84.2, 'avg': 75.2}",47,Clouds,scattered clouds
2024-09-25,"{'min': 63.0, 'max': 81.5, 'avg': 72.2}",60,Clouds,scattered clouds
2024-09-26,"{'min': 62.1, 'max': 76.1, 'avg': 69.1}",45,Rain,light rain
2024-09-27,"{'min': 68.8, 'max': 88.6, 'avg': 78.7}",35,Clouds,scattered clouds
2024-09-28,"{'min': 63.4, 'max': 81.4, 'avg': 72.4}",53,Clear,clear sky
2024-09-29,"{'min': 67.8, 'max': 90.3, 'avg': 79.0}",52,Clear,clear sky
2024-09-30,"{'min': 63.2, 'max': 90.6, 'avg': 76.9}",62,Drizzle,drizzle
